left,right,weight
0,0,0.3739809190021769
0,1,0.3385410310001807
0,10,0.19441941281628328
0,11,0.2816101175087353
0,12,0.1872138569670718
0,14,0.17567567567567566
0,15,0.19344960806928024
0,16,0.3176955831493372
0,17,0.25703232654729324
0,18,0.10049302371848552
0,2,0.4581220147018572
0,20,0.10397722164787793
0,21,0.09631731149327873
0,22,0.10018199749974543
0,23,0.2369334853158484
0,24,0.15594181147386707
0,25,0.10217444729814072
0,26,0.13174652215130747
0,27,0.2074257757137356
0,28,0.10380983722779837
0,29,0.1079473168772256
0,3,0.522634505953635
0,4,0.4516365480960758
0,5,0.4145499609064239
0,6,0.3707524417672374
0,7,0.3790241913820458
0,8,0.3787344309057231
0,9,0.3545942407269781
1,0,0.3412030279399637
1,14,0.1850719210124744
1,16,0.18987667724258211
1,17,0.10167709824825784
1,23,0.11317600998144005
1,24,0.1040057890982014
1,3,0.36260506077826543
1,4,0.3543954749859523
10,0,0.22062979485978726
10,10,0.3627961158827728
10,11,0.412345496943034
10,12,0.36576594466284257
10,13,0.3609927035968565
10,14,0.3745115085098988
10,15,0.35946975798536623
10,16,0.18734192337191408
10,17,0.16804157467646458
10,18,0.12014384202494885
10,19,0.10419539626223932
10,2,0.20076398222315509
10,20,0.0978659719081456
10,21,0.15918981006544972
10,22,0.1030645713494672
10,23,0.13455111674868594
10,24,0.14651802853377602
10,25,0.10866668528627717
10,26,0.1808447265615792
10,28,0.12669685979947864
10,29,0.10203793161025833
10,3,0.2160703922269524
10,4,0.22755191213119025
10,5,0.2608401752755115
10,6,0.2270271362656636
10,7,0.2453687840925577
10,8,0.1926821089829222
10,9,0.18239763927276686
11,0,0.2773495535919378
11,10,0.4132981654509588
11,11,0.40184224309302347
11,12,0.3809369468225569
11,13,0.3866927484517241
11,14,0.4013566349629388
11,15,0.3997074376377838
11,16,0.08906662929292099
11,17,0.4455627551332155
11,19,0.11891962590086146
11,2,0.28944833855817403
11,20,0.1292695195454713
11,21,0.11686887574096567
11,22,0.11034480703318754
11,23,0.2239219209303354
11,24,0.2022625767820116
11,25,0.13518323140426966
11,26,0.20264733814902716
11,27,0.11349074405827153
11,28,0.1480904413890087
11,29,0.12777535340007964
11,3,0.2765674503768665
11,4,0.3065307847741416
11,5,0.3648954137557939
11,6,0.25351113081994386
11,7,0.23498189825114374
11,8,0.22233265906458702
11,9,0.1856115964162768
12,0,0.18781804321462625
12,10,0.3721288865929237
12,11,0.3696059387553654
12,13,0.36601935585636397
12,16,0.054746411615085054
12,17,0.12154386195471095
12,19,0.10843136999561898
12,2,0.3333333333333333
12,22,0.10283461607467784
12,23,0.10164378906185016
12,24,0.1110731312056778
12,25,0.10532482719973504
12,26,0.1182604777579694
12,3,0.1739181857924349
12,4,0.2028059032653578
12,5,0.19313224646115204
12,6,0.19334710567298444
12,7,0.2012190831314228
13,0,0.21063087243690076
13,10,0.3675724326453835
13,11,0.3750207201991325
13,12,0.3694884096364427
13,13,0.5036741549377943
13,14,0.3644419588508752
13,15,0.385569530294382
13,16,0.07371056557008501
13,17,0.1669743938417598
13,18,0.10622356600414794
13,19,0.09848484848484848
13,2,0.1892255489584536
13,20,0.11747002230263212
13,21,0.10690355937288493
13,22,0.10079086599969554
13,23,0.12058513155691905
13,24,0.1239252802430792
13,26,0.16342469168388835
13,28,0.10326702687937402
13,29,0.1160031944621793
13,3,0.18787283418416784
13,4,0.2255095049383413
13,5,0.2308214273919213
13,6,0.18733203192016476
13,7,0.21210279329598114
13,8,0.20364225728163807
13,9,0.181037847176772
14,0,0.2093947086463648
14,1,0.17499479654439845
14,10,0.34615532328076365
14,11,0.37965525746293133
14,13,0.3593911292002382
14,14,0.367178205504454
14,15,0.3890172375821874
14,16,0.06016700904939214
14,17,0.12660946587008454
14,19,0.10012642406199594
14,2,0.18048056074464364
14,20,0.13344114919902747
14,21,0.11437925485908652
14,23,0.12211052097387938
14,24,0.1134378907876143
14,26,0.12930903811221311
14,28,0.09514060578293024
14,29,0.12346814505085513
14,3,0.2068180883844546
14,4,0.2397036726862413
14,5,0.19475945405359588
14,6,0.1813824347872886
14,7,0.19232225410829976
14,8,0.21191350469918027
15,0,0.2087649252288011
15,1,0.1773871252433095
15,10,0.3703334462769893
15,11,0.3879652358482488
15,13,0.3793036223197421
15,14,0.4146416383917755
15,16,0.058624610948364464
15,17,0.15818777264783174
15,19,0.11846975177964865
15,2,0.19007918213306432
15,20,0.09600321578185723
15,21,0.10125344435234901
15,23,0.1374672747589692
15,24,0.13624811874575068
15,26,0.12129419658300725
15,29,0.09354273153052814
15,3,0.21691485138504396
15,4,0.2261285008260677
15,5,0.19047289136852166
15,6,0.19047160337491487
15,7,0.2397519905165435
15,8,0.2873946822577609
15,9,0.17723642595018085
16,0,0.37584980839817705
16,1,0.19110169229118731
16,11,0.10536041330954468
16,16,0.02635988725954524
16,17,0.2965284207545372
16,19,0.26437102045197425
16,2,0.2922491461662101
16,22,0.27161731915242937
16,23,0.2855436104476844
16,24,0.26668359264512403
16,25,0.2607026883177989
16,26,0.2540949917345747
16,27,0.263537335481668
16,28,0.25701482395660863
16,3,0.3989407062980983
16,4,0.22585313207269486
16,5,0.23091429106605624
16,6,0.25651979798331576
16,7,0.23940147021050695
16,8,0.2026008665467485
16,9,0.18887353851314734
17,0,0.4408930692020379
17,1,0.26965176875149593
17,10,0.32857121604263456
17,11,0.4924720117516287
17,12,0.2799448694486551
