,OriginPlayerID,DestinationPlayerID,OriginPlayerIDFit,DestinationPlayerIDFit,AvgWeight,AvgPosition_x,AvgPosition_y,OutCount,Position
222,Huskies_F2,Huskies_D3,11,3,0.2844734003240531,53.79019073569482,47.27792915531335,859,F
223,Huskies_D3,Huskies_D1,3,0,0.5226345059536363,35.5663082437276,50.74910394265233,727,D
224,Huskies_D1,Huskies_G1,0,16,0.37584980839817733,35.657492354740064,54.84709480122324,851,D
225,Huskies_D5,Huskies_F2,5,11,0.36489541375579415,49.097972972972975,38.00337837837838,625,D
226,Huskies_F2,Huskies_M1,11,17,0.4924720117516278,53.79019073569482,47.27792915531335,859,F
227,Huskies_M1,Huskies_D1,17,0,0.25703232654729374,50.50177935943061,51.13345195729537,1255,M
228,Huskies_D1,Huskies_D3,0,3,0.5362095369398635,35.657492354740064,54.84709480122324,851,D
229,Huskies_D3,Huskies_D4,3,4,0.4596911171663713,35.5663082437276,50.74910394265233,727,D
230,Huskies_D4,Huskies_F1,4,10,0.22755191213119025,53.23048327137546,12.851301115241636,569,D
231,Huskies_F3,Huskies_M3,12,23,0.2756205375424912,58.97142857142857,54.65714285714286,56,F
232,Huskies_M3,Huskies_D4,23,4,0.2609662368412723,47.3359173126615,48.16279069767442,887,M
233,Huskies_D4,Huskies_F3,4,12,0.2028059032653578,53.23048327137546,12.851301115241636,569,D
234,Huskies_D5,Huskies_D5,5,5,0.4009387560882236,49.097972972972975,38.00337837837838,625,D
235,Huskies_F2,Huskies_D5,11,5,0.3380788675174044,53.79019073569482,47.27792915531335,859,F
236,Huskies_D5,Huskies_M1,5,17,0.4111096633611705,49.097972972972975,38.00337837837838,625,D
239,Huskies_D3,Huskies_G1,3,16,0.3989407062980976,35.5663082437276,50.74910394265233,727,D
240,Huskies_G1,Huskies_D3,16,3,0.2675943729389667,12.454545454545455,47.76555023923445,473,G
243,Huskies_D1,Huskies_D5,0,5,0.452295170009688,35.657492354740064,54.84709480122324,851,D
244,Huskies_F1,Huskies_D5,10,5,0.22134701139532548,66.83802816901408,45.13380281690141,238,F
245,Huskies_D3,Huskies_F1,3,10,0.2160703922269523,35.5663082437276,50.74910394265233,727,D
246,Huskies_M1,Huskies_D4,17,4,0.2512350179958595,50.50177935943061,51.13345195729537,1255,M
